부여번호,기업명,대표자명,주소,담당자,담당자연락처
10104784,주식회사 동우텍,전광규,대전광역시 유성구 테크노4로 17 (관평동),김성준,042-934-9407
10236869,비스캣,고동욱,서울특별시 성동구 왕십리로 222 (사근동),최병훈,010-****-****
10237383,제이에스테크,김준성,광주광역시 광산구 진곡산단2번로 39-25 (오선동),김준성,010-****-****
10091244,부영엔지니어링엔지엠피,김기홍,경기도 안양시 동안구 학의로 282 (관양동) 715호,김기홍,031-450-0660
10106127,(주)이프,진영수,경상북도 포항시 남구 철강로 362 (호동),안영하,054-278-8448
10237615,올턴가연테크,임해진,전북특별자치도 전주시 덕진구 원반월길 42 (반월동),이창석,063-212-6306
10237624,미미젠,강다이안,경기도 안양시 동안구 시민대로327번길 11-41 (관양동),강다이안,010-****-****
10237233,주식회사 에이아이세스,서철욱,대전광역시 유성구 가정로 218 (가정동),김진홍,010-****-****
10109099,레피소드 주식회사,양주성,광주광역시 남구 대남대로 388 (월산동),윤대현,062-675-2314
10081293,(주)스마트비전텍,이규훈,서울특별시 금천구 서부샛길 648 (가산동) 1006호,정영실,02-868-3444
10103862,시제,신인준,인천광역시 연수구 인천타워대로54번길 15-3 (송도동),정소정,02-1644-4286
10237607,주식회사 에이투텍,김증섭,대구광역시 동구 동촌로 351 (용계동),이기태,053-384-3010
10091702,와이디엔에스,윤문환,경기도 성남시 수정구 금토로80번길 11 (금토동),백경묵,031-754-2500
10235274,앰플랩 주식회사,김진영,세종특별자치시 나성로 33-6 (나성동),김진영,010-****-****
10236348,와이어랩,이준희,부산광역시 남구 수영로 312 (대연동),이준희,010-****-****
10075711,(주)메가콤,"성미향,최재혁",대구광역시 동구 율암로 74 (율암동),신제유,053-381-9988
10002695,주식회사 넥솔시스템,조재식,서울 금천구 가산동 대륭테크노타운3차 703호,조용현,02-2104-7400
10076122,(주)엔정보기술,서용수,울산광역시 울주군 범서읍 대리로 89,손현동,010-****-****
10237574,주식회사 제이와이엔지니어링,전태호,경기도 평택시 진위면 진위2산단로 140,함승식,010-****-****
10236396,(주)엑소디엑스,이용현,경기도 안산시 상록구 버대길 130 (양상동),이용현,010-****-****
10237563,트롤스,성태석,경기도 용인시 기흥구 중부대로 184 (영덕동),이주영,031-281-6367
10237591,유이소프트 주식회사,김정권,대전광역시 서구 둔산로137번길 21 (둔산동),이경호,010-****-****
10079043,(주)리탈,저스틴크리스천리,인천광역시 연수구 인천타워대로25번길 10 (송도동),이종일,070-4900-9990
10072719,(주)대한엔지니어링,이래용,경기도 화성시 정남면 정남산단3길 5,김소희,031-457-0862
10237513,(주)보다솔루션,김웅경,충청남도 천안시 서북구 2공단5로 52 (차암동),김웅경,041-414-9144
10233042,(주)에스이테크,손명식,경기도 화성시 남양읍 현대기아로487번길 53-26,김용우,010-****-****
10233886,주식회사 모렌소프트,김민아,서울특별시 구로구 디지털로30길 31 (구로동),이길용,02-6326-4109
10231559,올아이티,현주열,경기도 부천시 원미구 송내대로265번길 85 (상동),현주열,02-1111-2222
10084930,주식회사위피엔피,정병완,대전광역시 유성구 복용동로 43 (복용동),민성희,042-256-5238
10236751,다우에스앤씨,이기성,서울특별시 금천구 가산디지털1로 137 (가산동),이기성,02-1588-6403
10069180,(주) 우진,이재상,경기도 화성시 동탄역로 24 (오산동),이준호,031-379-3272
10090394,엘에스아이티씨(주),조의제,서울특별시 용산구 한강대로 92 (한강로2가) LS용산타워 14층,박정희,02-2036-1366
10085000,(주)삼보플러스,"금창휘, 이휴정",서울특별시 마포구 토정로37길 41 (염리동),이휴정,02-719-8174
10094850,원프레딕트,윤병동,서울특별시 강남구 언주로125길 4 (논현동),이승현,02-884-1664
10237179,(주)레드소프트,조용현,서울특별시 구로구 디지털로26길 43 (구로동),오정훈,070-4158-5702
10237450,건영에이엑스,이성훈,대구광역시 달서구 성서공단로50길 21 (월암동),류민영,053-256-8686
10007584,소프트온넷(주),송동호,대전광역시 서구 대덕대로241번길 20 (둔산동),김여진,02-3484-0500
10237417,(주)엔사이트,구성영,울산광역시 남구 신여천로35번길 46 (여천동),이기욱,052-287-1505
10237496,Bueno MEDITECH,정종극,"경기도 성남시 분당구 정자일로 248 (정자동, 파크뷰)",이경민,031-719-1243
10237509,주식회사 슈파스,김용환,서울특별시 동대문구 회기로 117-3 (회기동),양진원,070-8888-2227
10083609,(주)스크린에이치디코리아,김유석,경기도 안양시 만안구 일직로 88 (석수동) 케이타워 본관 11층,윤원상,02-727-0810
10235167,주식회사 비엠씨,황선일,인천광역시 연수구 송도미래로 30 (송도동),이창근,032-837-5388
10230979,(주)코그콤,정치훈,서울특별시 송파구 송파대로 201 (문정동),이정호,010-****-****
10237250,(주)인스카이,백민우,대전광역시 유성구 반석동로40번길 40 (반석동),송병채,010-****-****
10237408,에이스웍스코리아,박승범,대구광역시 수성구 알파시티1로 160 (대흥동),박준영,053-719-3454
10237430,(주)코리아로지스,김영남,서울특별시 금천구 가산디지털1로 145 (가산동),한주형,02-2066-0001
10079159,주식회사에이테크,김정완,"울산광역시 중구 종가로 655(서동), 혁신센트럴시티 307호",최봉문,052-281-4780
10077424,디케이이노베이션,이명열,경기도 시흥시 시화벤처로315번길 12 (정왕동) 디케이이노베이션,이명열,031-499-9321
10105365,주식회사 윔,전우진,대구광역시 북구 대학로 80 (산격동),전우진,053-939-2434
10105896,데이터랩,장석진,경기도 수원시 영통구 광교산로 154-42 (이의동),이기운,031-249-1636
10237136,한국훼스토(주),LEKIC TOMAS,인천광역시 서구 원전로 68 (경서동),유도균,02-850-7423
10237372,주식회사 쎈비젼,신현승,경기도 성남시 중원구 둔촌대로 545 (상대원동),한제영,010-****-****
10237418,넥스트에이아이,박성영,전북특별자치도 익산시 황등면 황등로 89-9,박성영,010-****-****
10231435,주식회사 스마트뱅크,김기덕,부산광역시 연제구 연제로 24 (연산동),안명수,050-7871-3610
10237466,마티아스,임덕선,경기도 고양시 일산동구 중앙로 1036 (백석동),임덕선,010-****-****
10237161,주식회사 컨테인어스,이성진,부산광역시 중구 중앙대로81번길 2 (중앙동4가),이성진,051-710-0807
10237154,나무아이앤씨,김경식,서울특별시 서초구 바우뫼로 160 (양재동),김정열,02-3018-5114
10086987,주식회사 오승이에스,김원기,부산광역시 북구 효열로 111 (금곡동),이권재,051-342-0070
10237412,주식회사 오에스아이,안종호,대구광역시 달서구 성서공단로39길 27 (갈산동),박미진,053-721-7080
10104425,(주)비스텔리젼스,이한주,서울특별시 서초구 바우뫼로 128(양재동) 비스텔타워,정민조,02-597-0911
10079509,유징테크,이재목,경상북도 포항시 남구 효성로 70-22 (효자동),이승준,054-231-3500
10065093,(주)더블유비에스(WBS),배복환,"대구광역시 서구 와룡로66길 54 (중리동), 2층",황윤경,053-527-1915
10065423,엘도움,박민순,서울특별시 영등포구 영등포로18길 2 (양평동1가),박민순,02-2645-0915
10102037,아강테크(주),조성현,울산광역시 중구 종가로 15 (다운동),조미나,054-624-4705
10236459,주식회사 플러스에스제이,이석진,서울특별시 용산구 한남대로 27 (한남동),김민오,010-****-****
10237119,(주)인포트롤테크놀러지,김원호,서울특별시 양천구 목동서로 159-1 (목동),안성진,02-2061-7291
10237272,주식회사 알오지스틱스,최낙은,경상북도 경산시 대학로 280 (대동),이진용,010-****-****
10237370,(주)더아이엠씨,전채남,대구광역시 수성구 알파시티1로35길 17 (대흥동),윤지인,070-4904-8376
10063995,엘지씨엔에스,현신균,서울특별시 강서구 마곡중앙8로 71 (마곡동),양혜영,02-2099-0114
10079316,엠투아이코퍼레이션,강원희,경기도 안양시 동안구 시민대로327번길 11-35 (관양동) 엠투아이빌딩,이준상,031-465-3366
10236821,주식회사영앤썬인터내셔널,이영진,경기도 성남시 분당구 황새울로 234 (수내동),박으뜸,031-716-7994
10237101,(주)에이피에스티,이덕형,서울특별시 강서구 공항대로 209 (마곡동),강현실,02-3665-1992
10237190,주식회사 파워플러스이앤씨,김용준,서울특별시 금천구 가산디지털1로 219 (가산동),김현정,02-579-9657
10237265,(주)씨앤에스아이티엠,최혁,경기도 안양시 동안구 벌말로 123 (관양동),최혁,010-****-****
10237369,인투비글로벌,김민우,서울특별시 금천구 가산디지털1로 19 (가산동),김민우,02-6265-1707
10237029,(주)태영철강,조영균,경상남도 김해시 진례면 테크노밸리길 170-67,조영진,055-345-4676
10237121,(주)성보기술,김달우,충청북도 청주시 청원구 오창읍 양청4길 45,김세양,043-218-1015
10237106,에스지원,김성진,경기도 하남시 미사강변한강로 135 (망월동),김성진,02-6205-2020
10076344,(주)와이티,"김용태,홍윤택",대전광역시 유성구 학하서로121번길 55-13 (덕명동),한상이,042-861-3400
10231701,인아텍앤코포,신계철,인천광역시 남동구 남동서로 37 (고잔동),김진웅,032-819-8651
10233836,후니즈소프트,강성훈,경기도 고양시 일산동구 무궁화로 20-38 (장항동),김선철,031-871-7629
